H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
2.99599 1.76014 1.119 0.809629 0.979133 1.63714 -0.19281 -0.621035 2.32477 1.18757
2.48969 1.02247 0.724408 0.360002 0.861582 1.99258 1.65243 0.189834 1.8581 0.484259
3.64107 2.21326 1.7926 1.47812 1.50287 2.54767 0.844167 -0.487533 2.37738 1.1758
2.74879 1.7349 1.00406 0.663301 0.969189 1.53022 0.354369 -0.540124 1.74238 0.235168
3.07289 1.87904 -0.0304442 -0.264987 1.49577 1.678 2.27691 1.11029 2.59771 1.5157
2.67473 1.45332 0.973698 0.427128 0.740992 2.12931 -0.065318 -0.950171 1.499 0.361444
3.01357 1.86647 1.54313 1.10401 1.1403 2.29985 0.572175 0.427102 1.64117 0.570758
3.58809 2.24766 1.53813 1.31641 1.52639 2.15429 0.173543 -0.664292 2.70282 1.49164
1.72399 0.624326 0.844605 0.667992 -0.396267 3.2666 2.32059 1.10362 1.33199 0.0491463
3.28794 2.13594 1.7373 1.44603 1.36336 2.43573 0.961479 -0.0861614 2.06976 0.815886
3.53443 2.33504 1.20227 1.07286 1.2426 1.51859 2.16217 0.575545 2.82909 2.29699
4.20882 2.72991 2.62081 2.1363 1.79507 3.86194 3.17215 2.05312 2.3522 1.20668
2.32213 0.915386 0.812324 -0.022321 0.901611 1.38945 0.182305 -0.998869 1.33455 0.111371
3.56796 2.18615 1.57013 1.29344 1.47613 1.96866 0.734549 -0.843229 2.71125 1.65036
1.61603 0.401883 -0.300454 0.378881 0.200355 1.4862 0.123996 -0.949333 0.790728 -0.82431
3.07139 1.77349 1.17298 0.927958 1.11215 2.10842 0.194151 -0.617842 1.817 0.598509
3.20567 1.82682 1.65862 1.27536 1.12426 2.60955 0.846068 0.209521 1.81171 0.809661
3.18713 1.93245 1.67957 1.21527 0.994176 2.59816 0.823751 -0.150765 1.75355 0.588827
3.49627 1.83246 1.38803 1.23832 0.984471 2.1481 0.897755 -0.853538 2.88976 1.81673
1.36313 0.417136 0.167469 0.0227299 -0.28094 2.02349 0.201746 0.213207 1.26146 -0.206956
2.0491 0.951947 0.999933 0.817543 0.347088 2.42163 2.20985 0.890921 2.01587 0.860098
3.36995 1.88448 1.82995 1.58343 1.02703 2.69763 1.7002 0.418611 2.69894 1.48136
3.89535 2.53539 2.10333 1.79472 1.69278 2.82321 0.925342 0.262161 2.83222 1.64116
2.94951 1.63986 1.25513 0.942518 0.818689 2.6207 0.752801 -0.794977 1.86243 0.761174
3.02204 1.66296 1.1657 0.591771 1.11536 1.96616 0.448844 -0.141515 1.84347 0.602188
3.79807 2.52918 1.96461 1.48525 1.7989 3.5049 2.57193 1.43903 2.25858 1.05754
3.84094 2.50469 2.10376 1.73386 1.72814 2.91962 1.22432 0.278089 2.64517 1.57216
3.57486 2.27392 2.03084 1.58236 1.64686 2.92051 1.09321 -0.310657 2.3303 1.14482
2.6486 1.43744 1.10841 0.877498 0.471432 2.20424 1.67575 0.407212 2.27569 1.09712
3.22597 1.94787 1.25656 0.855806 0.940504 1.98264 0.455046 -0.876592 2.01174 0.750507
3.36925 1.87214 1.51803 1.3367 0.779559 2.44364 0.387872 -0.265008 2.65137 1.39216
3.25917 2.2626 2.38282 2.42279 1.76362 3.66926 4.42639 3.14471 3.29354 2.29651
2.83346 1.76169 1.22948 0.920341 1.32474 2.84033 2.77745 1.58514 2.40624 1.48917
2.04745 0.534838 0.62337 -0.238963 -0.48118 1.91843 -0.0577016 -1.21553 1.32759 0.188631
3.19576 1.96844 1.64363 1.19447 1.01827 2.76969 1.27928 0.07805 1.6056 0.153427
3.4755 2.27108 1.4333 1.07008 1.28305 2.61509 0.871732 0.310201 2.29046 1.1489
3.67251 2.35588 1.78152 1.53334 1.39748 2.42999 0.708032 -0.57659 3.03745 1.91052
4.24742 2.86741 2.6231 2.32088 1.87567 3.9395 2.92561 1.67675 2.70794 1.51122
3.73021 2.38926 2.06971 1.8257 1.32671 3.38622 2.55495 0.939057 2.5502 1.241
5.55551 3.83427 2.81942 2.50886 2.81463 3.80003 5.09569 3.86399 3.18156 3.35687
3.16795 1.98071 1.23889 1.09367 1.25264 2.33953 0.790647 -1.38375 2.02735 0.795732
3.10864 1.63625 1.00252 0.713758 0.680403 2.17949 0.0986117 -0.28682 1.98868 0.743364
3.90302 2.36375 2.31432 1.94904 1.64225 3.37029 1.90869 0.675224 2.42802 1.23746
2.32853 0.832489 0.394073 0.170881 1.00525 1.74107 0.0245154 -0.808213 1.41901 0.0991491
3.34234 2.2217 1.78619 1.35442 1.52734 3.49937 2.33371 1.17409 1.78042 0.767882
3.54705 2.08909 1.36355 1.21746 1.15167 1.90228 -0.135224 -0.912738 2.74403 1.71695
3.0948 1.72405 1.37461 1.08053 0.390303 2.09309 0.049494 0.824168 2.0015 0.594279
2.94299 1.63168 1.44826 1.52033 0.843453 2.90357 3.00647 1.88018 2.91586 1.95751
3.94821 2.50692 2.16139 1.84731 1.61013 3.29857 2.11614 0.901364 2.67712 1.28445
3.49984 2.22777 1.99595 1.5945 1.50015 3.19438 1.77311 0.487038 2.04494 0.822743
3.57544 2.44545 1.81679 1.43149 1.54213 2.90341 1.00415 0.983506 2.47012 1.57308
3.55723 2.17532 1.43661 0.700104 1.37113 1.96057 0.188823 -1.21352 2.54942 1.44229
2.76684 1.43889 1.06756 0.756405 0.0182685 2.3106 -0.044286 -0.231594 1.59595 0.371997
4.12147 2.7066 2.42644 2.09351 1.74599 3.05218 1.57356 0.394753 2.99444 1.94663
2.87168 1.90442 0.91416 1.10886 0.683272 2.09094 -0.239301 -0.698552 1.61182 0.341083
4.08052 2.77445 2.49768 2.16982 1.88134 3.81851 3.11262 1.91329 2.28482 1.02724
2.53772 1.20223 1.20419 0.778339 0.371076 1.89412 1.65305 0.503734 1.84505 0.97882
3.07663 1.55214 1.43526 0.974087 0.882181 2.40241 0.806067 -0.696406 1.93614 0.606109
3.42168 2.13109 1.6943 1.37243 1.17683 3.21501 1.36122 0.151223 2.02771 0.834672
3.4191 1.91189 1.3852 1.03921 0.959833 2.46496 0.603554 -0.468375 2.53039 1.31662
3.59447 2.24635 2.00079 1.60377 1.55799 3.29522 1.91894 0.592457 1.98232 0.741462
2.55141 1.31168 1.36693 0.738326 0.305993 1.81128 -0.1151 -0.607064 1.4197 0.18229
2.42883 1.23891 0.384058 0.371945 0.00724451 1.88218 1.07608 -0.174371 1.59266 0.475002
4.24168 2.80086 2.32966 2.14719 1.68935 3.52266 2.21209 0.748106 3.23606 2.10797
2.82886 2.48657 0.588779 0.388775 0.897771 1.59399 -0.0812877 -0.511566 1.6381 0.437761
2.80107 1.48238 0.719745 0.733172 1.04513 1.50938 0.816194 -0.334137 1.92453 0.956958
3.24542 2.11589 1.9186 1.99813 1.5789 3.40508 4.5534 3.28454 2.79317 1.79017
3.45545 1.99759 1.80253 1.52263 1.17106 2.22707 0.167358 -0.319953 2.14003 0.932795
3.66587 2.21016 2.08478 1.63545 1.1276 2.64369 1.05798 0.0648066 2.46134 1.2444
2.86413 1.43351 0.860337 1.07295 0.813561 1.8065 0.467684 -0.603385 2.04016 0.749469
4.00274 2.61396 2.16178 1.87875 1.65024 2.5811 1.08135 -0.00935145 2.96967 1.69654
1.33403 0.333431 0.518556 0.0632555 0.521346 2.18706 -0.1331 0.328429 1.17841 0.0106453
1.03937 -0.0838543 -0.487873 -0.238057 0.402879 1.14719 -0.158327 0.325133 0.496308 -0.23881
3.08021 1.92609 1.20456 1.07453 1.12178 2.13501 0.113379 -0.623918 2.04499 0.857172
2.83258 1.49104 0.778861 0.377367 0.906633 1.57513 0.393556 -1.06685 1.61491 0.443889
3.65185 2.37964 1.98423 1.71496 1.38308 2.94158 1.71322 0.464937 2.24493 0.955551
3.92326 2.50639 2.19895 1.85003 1.41844 3.27861 1.91354 0.695252 2.70555 1.45836
3.92964 2.63958 2.1544 1.9178 1.76723 3.05314 1.39914 0.491537 3.02127 1.90024
2.11026 1.03137 0.575714 0.0841196 0.326018 1.84932 0.0789529 -0.650213 0.980079 -0.537091
3.84485 2.49541 2.01252 1.7165 1.62801 2.90489 1.25089 -0.14345 2.72131 1.58261
2.8908 1.71777 1.38403 0.928396 0.616831 2.21329 0.120086 -0.6391 1.68157 0.308601
3.4841 2.09262 1.72303 1.35738 1.16818 2.45976 0.123881 -0.237444 2.25563 1.02833
3.12926 1.9413 1.57411 0.99209 1.06953 2.50772 0.596681 -0.146889 1.95546 0.624786
3.66184 2.18856 1.80317 1.56935 1.26112 2.8248 1.35836 0.0758247 2.88725 1.71151
3.38977 2.18034 1.37661 0.984789 1.27637 1.71579 -0.179313 -0.0601516 2.14308 0.742243
3.48736 1.98286 1.40532 0.837271 0.769592 2.07231 0.599137 -0.494843 2.40859 1.06785
3.39268 1.99258 1.40509 0.898779 0.981475 2.35995 0.333903 -0.520594 2.12686 1.08391
3.13439 2.03813 1.74731 1.41047 1.0988 2.82067 0.950749 0.110401 1.66298 0.659678
2.92757 1.46821 1.26363 0.543231 0.376716 2.31485 0.614327 -0.403283 2.23645 0.908991
2.60523 1.22591 0.864421 0.66767 0.0364025 1.68633 1.0377 0.108017 1.81105 0.42578
2.57887 1.2147 0.649939 -0.312137 0.358785 1.50228 0.212929 -1.03899 1.44961 0.484419
2.2016 0.72431 1.90144 1.416 0.449929 3.42751 1.70133 0.356456 2.22462 0.990591
1.883 0.473375 0.719489 -0.140878 -0.000492217 1.22769 0.00213395 -0.761293 1.26092 -0.458683
3.32531 2.03343 1.77175 1.48683 1.10448 2.39624 0.637436 -0.110275 2.05388 1.0307
1.76885 1.05058 1.11132 1.04941 0.187484 3.52556 1.77546 0.759549 1.75813 0.946609
2.87839 1.49591 0.560565 0.375685 0.967028 1.4998 -0.0506191 -0.947937 1.69605 0.173977
3.13852 1.76001 1.30482 0.713487 0.875193 1.97705 0.475576 -0.661196 2.01487 1.01887
2.66203 1.6089 0.797375 0.254471 0.614906 1.94404 -0.0897478 -0.486437 1.37515 0.492873
3.74449 2.52133 1.96625 1.69745 1.67684 2.74707 1.06076 0.239979 2.64907 1.55779
3.55381 2.2673 1.75516 1.36325 1.57072 2.46788 0.899161 -0.627405 2.51319 1.3853
2.97294 1.92695 1.45268 1.29822 1.21429 2.51974 1.23473 -0.4621 1.83355 1.28396
3.81417 2.16551 2.2576 2.17532 1.08445 3.74012 3.42604 2.2867 3.36434 2.07277
3.974 2.60481 2.25695 1.80979 1.69398 2.64289 1.23914 -0.00201046 2.91598 1.78176
2.68739 1.29856 1.0166 0.813796 0.330485 2.45257 0.610399 -0.596788 1.68718 0.613403
4.37018 2.88703 2.40878 2.00159 1.9501 3.97653 3.8207 2.70465 2.13198 1.07297
2.89441 1.342 0.790586 0.449264 0.370551 1.49951 -0.0536141 -1.32811 1.72944 0.33457
3.14662 1.82469 1.40492 0.782173 0.777752 2.25417 0.461181 -0.541364 1.9466 0.757277
3.71754 2.42506 2.14288 1.69591 1.50318 3.35604 2.07238 0.946685 2.32477 0.906483
3.07547 1.72752 1.21324 1.07989 0.92671 2.33513 0.422846 -0.295843 2.29574 1.26653
4.06 2.70084 2.36791 2.11305 1.96652 2.97138 1.51106 0.369693 2.92374 1.78028
3.68395 2.26082 1.62502 1.49473 1.19771 1.87646 0.966739 -0.464283 2.97831 2.2317
1.48952 -0.00637173 1.27978 0.55955 -0.20529 3.18849 0.60047 -0.0250827 2.07841 0.678383
4.11247 2.54873 2.34107 1.94943 1.65419 2.93975 1.3725 0.195274 3.20919 1.89623
2.63805 1.37479 0.773929 0.42857 0.698358 1.97058 1.11768 -0.171274 1.85062 0.708537
3.59494 2.20103 1.9105 1.69947 1.45499 2.82221 2.66509 1.50976 2.89053 1.79466
3.41423 1.83305 1.3808 1.34389 0.814261 1.84492 1.64855 -0.560221 2.53581 1.38905
4.09513 2.77508 2.3954 2.02302 1.80367 3.60794 2.53432 1.23377 2.81961 1.68012
2.88934 1.64447 1.2757 0.921428 0.885277 2.66281 1.92477 0.631667 2.26737 1.01103
3.41425 1.84709 1.33502 0.906114 0.980741 1.69591 1.23986 -0.506489 2.59285 1.39049
3.26946 1.84453 1.10534 0.888705 1.05265 1.68934 0.116013 -1.25117 2.38942 1.20984
2.14675 0.864798 0.432011 0.453106 0.425931 2.20092 2.44611 1.16792 2.06693 1.51764
0.729191 -0.00285365 -0.117163 -0.69732 0.0968387 1.50506 -0.198861 -0.594065 0.619662 -0.124433
3.2492 1.96636 1.44677 1.14864 1.03679 2.52867 0.919621 0.0722735 1.97346 0.945574
3.06034 2.05175 1.36214 1.08419 1.08258 2.20459 0.138014 -0.211235 1.96616 0.947011
3.51146 2.21887 1.69215 1.39521 1.59759 3.27848 1.81843 0.653894 2.38896 1.2924
2.93277 1.61246 1.20399 0.9653 0.112868 2.1799 0.251683 -0.687637 1.67441 0.533521
3.62809 2.30845 2.10169 1.46857 1.63718 3.38163 1.66037 0.744481 1.97427 1.00558
3.05898 1.86143 1.17042 0.934748 1.02495 2.11396 0.161145 0.666966 2.34572 1.25773
3.22602 2.00208 1.54026 1.25582 0.787759 2.85808 0.795556 -0.158968 2.09547 0.935119
2.33581 -0.00783741 0.148857 -0.151736 -0.00237556 1.81379 0.0828844 -0.748871 1.41227 0.107313
3.5105 2.13944 1.40314 0.980284 1.2851 2.2245 0.839793 -0.49407 2.342 1.25591
3.23337 1.89671 1.30311 0.892651 1.00656 2.13582 0.195611 -0.936989 2.047 1.00314
0.980353 1.14542 0.00324485 -0.949084 0.576841 1.81108 -0.0986927 -0.106865 0.91636 -0.595518
0.385207 -0.269445 -1.86125 -0.11059 -1.17334 1.06212 0.617404 -1.24413 -0.213031 -0.375982
3.60759 2.15364 1.90903 1.50278 1.13459 2.93973 1.5658 0.106029 2.44349 1.23201
2.89224 1.62202 1.25306 0.980513 0.66183 2.40059 0.906445 0.449904 1.79042 0.442944
3.30856 1.96777 0.942668 0.834787 1.11534 1.82841 -0.191393 -1.1551 2.15641 1.02145
3.6116 2.26643 1.49742 1.19542 1.248 1.96107 0.121742 -0.672297 2.49244 1.30786
3.41612 1.99396 1.21598 0.96133 0.933878 1.85729 0.514856 -1.26649 2.17063 1.10634
4.56269 3.0546 2.8001 2.41746 2.06549 3.56513 2.40706 1.17911 3.38831 2.27468
2.7845 1.3148 1.23153 0.650532 0.741187 2.35419 0.459095 -1.03013 1.88212 0.605941
2.76555 1.57033 1.08427 0.530428 0.592123 2.22701 0.32544 -1.21048 1.59817 0.536814
3.35636 2.13343 1.69454 1.27756 1.23509 2.84855 1.32665 0.0221117 2.1802 0.903327
3.7185 2.42713 1.88315 1.70897 1.54541 2.42838 0.724867 -0.258292 2.61686 1.5906
0.909188 0.118959 0.114805 -0.663467 -0.118199 2.03632 0.0149782 -1.91219 0.319722 -0.834381
3.22055 2.06981 1.31947 1.08237 1.09592 2.12383 0.63996 -0.790611 1.9712 0.701956
4.57942 3.17976 2.60321 2.40084 2.19741 3.94425 4.23459 3.14608 1.7986 0.836156
3.40445 2.18638 1.92566 1.50634 1.50056 3.50833 2.18883 1.03042 1.45844 0.0119729
2.0517 0.94476 0.433847 -0.00177541 0.436721 1.94695 -0.037972 -0.733319 1.13684 -0.115851
3.09976 1.97421 1.41844 0.919433 1.30079 2.15539 1.33968 -0.232494 2.25029 1.09368
3.77173 2.46906 1.93454 1.44055 1.66823 2.46132 0.902497 -0.1969 2.85496 1.71246
1.86184 0.703479 0.521749 -0.177612 0.590438 1.78723 -0.303947 -0.575103 1.14244 -0.162478
3.30089 2.06401 1.82374 1.32569 1.75186 3.40903 1.46881 0.473469 1.5473 0.893956
1.8017 0.695997 0.0477717 -0.500603 -0.129372 1.64326 0.797454 -0.674931 1.12264 -0.180346
3.24342 1.9982 1.16766 0.852682 1.18959 1.97124 0.756788 -0.356243 2.25183 1.14742
5.11316 3.48098 3.49153 3.18199 2.41681 3.97728 3.25403 2.07882 4.07609 3.2929
2.79834 1.23037 1.0538 0.65938 1.14931 2.19395 1.15051 -1.18968 1.89209 0.607534
3.71477 2.3582 2.0784 1.79345 1.63677 2.84921 1.42022 0.362489 2.43402 1.34422
3.06854 1.81023 1.12113 0.621741 0.959471 1.9767 0.275991 -1.44558 2.41896 1.34668
2.92554 1.60817 1.34493 0.626822 0.906697 2.71925 1.2629 -0.534288 1.40713 0.195943
3.22355 1.83617 1.63486 1.35983 1.12563 2.56787 0.513156 -0.823771 2.25004 1.01166
2.45047 1.41332 0.870845 0.347992 -0.0195942 2.01885 0.413252 -0.87099 1.84005 0.664135
2.50044 1.46637 0.769894 -0.374621 0.778041 1.67608 0.120773 -0.508824 1.45393 0.338042
3.10184 1.65053 1.19533 0.741913 0.559703 2.58641 0.825433 -0.75035 2.05029 0.888506
2.86858 1.41355 0.353528 0.356834 0.216194 1.54327 0.687537 -0.225958 2.08069 0.909728
2.59738 1.4616 0.538795 0.13068 0.797513 1.79329 -0.0765406 1.30366 1.55929 0.264609
2.15586 1.4081 0.973327 -0.352761 -0.393242 2.52554 0.529493 -0.830032 0.239979 -0.178508
2.56949 1.409 1.09675 0.173162 0.787696 2.06228 0.260785 -0.127334 1.71941 0.581626
4.35766 2.86122 2.27341 2.24252 2.02622 3.30416 1.88698 0.680606 3.18939 2.05284
2.08323 1.19776 0.585142 -0.956346 0.591651 1.6979 0.222255 -0.765029 1.09053 -0.636974
2.25455 1.2568 0.235253 0.00399743 0.0445881 1.25677 -0.798837 0.456146 1.12833 -0.215662
3.01194 1.83749 0.795222 0.465959 0.586208 1.86066 0.255508 -0.578353 1.66495 1.15773
3.37439 2.16429 1.50379 1.02228 1.65548 2.46054 0.736256 -0.782223 2.36156 1.17809
3.04994 1.62401 1.31425 0.966105 0.295407 2.82399 1.11998 -0.0474471 2.19635 0.886532
3.22731 2.03443 1.36896 1.04504 1.12396 2.93498 0.721879 -0.28427 2.02153 0.700531
2.34078 1.06715 0.427068 0.320727 0.236432 1.62401 -0.34695 -1.45049 1.65111 0.197424
0.56189 -0.546879 -0.755024 -1.30887 -0.00936156 1.28448 0.284287 -1.67089 0.288126 -0.761546
3.72455 2.48403 2.1072 1.60259 1.56022 2.85028 1.02195 0.112045 2.59539 1.37192
3.06621 1.67861 1.28028 1.31535 1.03817 2.20281 0.210741 -1.30105 2.3409 1.23624
4.21401 2.81407 2.35137 2.06381 1.80735 3.5668 3.94092 1.03071 2.88521 1.59505
2.49054 0.323486 0.401854 0.244202 0.621428 1.35237 1.31415 0.291874 1.75822 -0.0332659
3.89037 2.60208 2.02035 1.67146 1.73028 3.2091 2.05765 0.78619 2.5862 1.44946
2.62481 0.952287 1.43882 0.466621 0.109191 2.74135 0.97359 -0.568329 2.56102 1.21672
3.05146 1.59191 1.42131 0.976278 1.06321 2.33421 0.64189 0.0197451 2.0558 0.703622
3.31849 1.9938 1.54874 1.04939 1.0555 2.29451 0.284883 -1.19496 2.22599 1.01122
1.61622 0.457957 0.387992 0.265133 -0.326288 1.98056 0.163592 -0.7412 1.25904 -0.102742
4.045 2.56567 2.38945 2.02473 1.34419 3.31551 2.13681 0.921753 2.62465 1.39363
3.12836 1.8007 1.55402 1.44938 1.01728 2.61476 1.97702 0.987398 2.60489 1.25708
3.20103 1.91352 1.19822 0.938224 1.00918 2.08534 0.821434 -0.29722 2.08075 0.976814
4.16785 2.67463 2.29261 2.01036 1.56705 3.74486 3.34299 2.17237 2.07556 0.856196
3.47988 1.87294 1.55967 1.3299 0.776336 2.75768 1.2932 0.154709 2.36745 1.27801
3.27245 2.11204 1.76538 1.31724 1.63935 3.21769 1.854 0.612285 1.75112 0.597486
4.45594 2.87017 2.70607 2.49297 1.74441 3.01668 1.65083 0.273121 3.51554 2.44359
4.23279 2.95925 1.71713 1.56722 1.81477 3.14362 3.82636 2.65625 2.91316 2.07898
3.2144 1.94785 1.53492 1.11467 1.06968 2.51812 0.652006 -0.609208 1.88768 0.848043
4.31708 2.87188 2.62706 2.29401 1.86869 3.86407 3.20154 2.03987 2.68285 1.46388
2.97669 1.65375 0.921908 0.697154 1.11656 2.38548 0.346549 -0.12063 1.91585 0.552053
3.23641 1.73131 2.0022 1.5137 0.950609 2.40292 1.2011 -0.499732 2.56761 1.40639
3.76536 2.37902 1.6016 1.38786 1.57092 2.17611 0.731136 -0.501888 2.65431 1.59365
3.41857 2.19795 1.65588 1.42073 1.14813 2.60179 0.879741 0.093285 2.20774 1.15849
2.65303 1.35583 1.1698 0.92309 0.581862 2.2279 0.674293 -0.736744 1.47572 0.226793
3.03518 1.86179 1.35067 1.0689 1.1658 1.99825 -0.0549996 -0.157771 2.39727 1.25628
2.88374 1.71175 1.11964 0.815927 0.801956 1.86177 1.45851 0.552843 1.96411 0.656386
2.61709 1.54324 0.439032 0.201447 0.306913 1.24589 -1.15324 -0.168937 1.33666 -0.0359275
2.92361 1.48758 0.369547 0.457032 0.217591 2.07063 0.105266 -0.900003 2.18059 0.866294
3.41071 1.97973 1.33988 1.28871 0.729674 2.39038 0.521156 -0.666824 2.60075 1.26917
1.82945 1.0149 0.520579 0.0600105 0.48392 1.80988 1.48104 0.493347 1.37479 0.269431
3.55203 2.03427 1.43097 1.37002 1.29522 2.43889 0.788513 -0.64834 2.85711 1.63635
3.04935 1.53378 1.38859 1.0098 0.877894 2.2435 0.300923 -0.941757 2.35309 1.16945
1.99017 0.781604 0.0909828 0.201565 -0.396693 1.85167 -0.489495 -0.474592 1.45069 0.334758
4.20711 2.84881 2.45128 2.09691 1.75188 3.55615 2.53606 1.39123 3.07124 1.91586
2.60362 1.23987 0.570751 0.0367537 -0.391384 1.54181 0.608394 -1.08764 1.33526 -0.156088
3.34535 2.06569 1.73257 1.39153 1.33621 3.085 1.65986 0.460899 1.81469 0.785305
3.57514 2.28368 1.80169 1.43348 1.38602 2.60328 0.987105 -0.538214 2.51889 1.40076
2.74547 1.16077 0.729023 1.04763 0.265768 2.21301 0.953197 -0.148644 2.32109 0.756658
2.78077 1.38285 0.949516 0.498224 0.804432 1.87219 0.00535482 -0.105492 1.70538 0.45729
3.04322 1.72612 1.12719 1.19355 1.01266 1.86421 -0.0717647 -0.15832 2.20497 1.05148
3.54091 2.19992 1.66633 1.35419 1.5066 2.71408 0.957222 0.0660171 2.53248 1.46894
2.12212 1.15949 0.328925 -0.165759 0.180927 1.56192 -0.383388 -1.22789 1.17042 -0.078965
1.12629 -0.931683 -0.135989 -1.52842 -0.338746 1.41661 -0.328924 -1.58631 -0.144516 0.538873
1.17238 0.280278 0.3446 0.198223 -0.0278226 1.80861 1.95278 0.866923 1.42687 0.128392
3.61397 2.33575 1.88436 1.54181 1.4914 2.74288 1.09978 0.289683 2.44155 1.33659
1.42729 1.35538 -0.133094 -0.19326 -0.9589 1.53226 -0.0681216 -0.6779 0.754307 -0.351822
3.56527 2.28311 1.6901 1.3102 1.60797 2.5213 0.81799 -0.37253 2.43282 1.30334
2.8164 1.14541 0.677015 0.87263 -0.306209 2.231 -0.0874054 -0.879337 1.78108 0.449687
3.1272 1.93082 1.02461 0.761274 0.890326 1.92075 0.125695 1.78015 1.99207 0.879586
2.73606 1.508 0.696159 0.153851 0.40718 2.0641 -0.487769 -0.926235 1.6692 0.127352
2.74212 1.54904 0.951013 0.486759 1.21749 2.08247 0.708236 -0.295528 1.53816 0.562152
3.57365 2.07891 1.83009 1.43745 1.27879 2.85077 1.01467 0.166436 2.43857 1.16332
2.96943 1.62322 1.30247 0.935923 1.10593 2.23396 0.361179 -0.683002 1.70558 0.445559
4.36787 2.90952 2.58787 2.21977 1.65164 3.56045 2.05498 0.645319 3.50123 2.31466
3.61515 2.03643 1.66413 1.29191 1.00307 2.37939 0.429425 -0.187663 2.55547 1.39676
3.75196 2.33479 1.8179 1.5096 1.34989 2.32637 0.856087 -0.321198 2.67051 1.51392
1.62814 0.684673 0.207373 -0.820973 0.253125 1.96142 0.0876327 -0.708082 0.535402 -0.0381295
3.5113 2.15321 1.74012 1.56891 1.44528 2.83718 1.08286 0.0804605 2.55514 1.28984
2.83692 1.6298 1.09459 0.821075 0.742748 2.48699 1.76125 -0.491046 1.90947 0.960003
3.04053 1.60051 0.98687 0.637577 0.955594 1.67837 0.637972 -0.957091 2.07401 0.645278
4.33613 2.84275 2.42559 2.19358 2.01062 3.87054 3.31925 2.14559 2.45606 1.29735
3.80827 2.45128 2.049 1.80598 1.58254 3.47626 2.52683 1.17592 2.12389 0.989098
4.08542 2.83748 2.45659 2.1744 1.77091 3.82011 3.15604 1.96608 3.30804 2.17501
2.91962 1.52352 1.00595 0.518005 1.03997 2.20753 0.700092 -0.382319 1.60297 0.666916
4.15552 2.80534 2.50083 2.1141 1.97861 3.53362 2.18649 1.06114 2.97696 1.78823
4.28967 2.83102 2.58252 2.27203 1.85008 3.29235 1.94521 0.682722 3.21858 2.03669
2.78822 1.69564 1.57203 1.49754 0.827387 3.09615 3.43733 2.29607 2.56898 1.61477
3.48909 1.93596 1.52204 1.28895 0.832559 2.80437 0.88652 -0.0917842 2.22199 0.940595
3.19645 1.67796 1.11135 0.991728 0.539769 2.0773 0.564879 -0.256407 2.87403 1.87364
3.92685 2.6124 2.19749 1.9019 1.68639 3.41673 2.41805 1.15054 2.8323 1.68221
3.27964 2.55804 1.62948 0.342174 1.40046 2.54724 2.2101 0.863359 2.47858 1.26486
2.43506 1.06089 1.39896 1.37978 0.129517 3.15483 2.70102 -0.526371 1.9196 0.423664
2.91313 1.43767 0.901525 0.416666 0.233259 2.42845 0.000762649 -0.828105 1.93774 0.490444
3.09636 2.10051 1.5695 1.30802 1.36108 2.45582 3.49998 2.284 2.43424 1.54485
3.26808 1.94253 1.03407 0.607599 1.30947 1.64695 -0.190651 0.308456 2.32651 1.18774
3.65001 2.32933 2.01658 1.62921 1.30954 2.67228 1.13881 -0.279496 2.43511 1.35119
2.64545 1.54266 1.04508 0.604936 1.15965 2.27672 0.437604 -0.480468 1.52811 0.396386
3.57123 2.18924 1.93144 1.47778 1.15243 2.66702 0.829857 0.0254698 2.47377 1.18199
1.8397 0.867735 0.0111556 -0.215959 0.379217 1.73849 -0.0940143 -1.14975 1.02735 -0.12691
3.08296 1.64341 1.11223 0.879956 0.35649 2.06132 -0.50151 -0.877331 2.03312 0.495685
3.10308 1.62857 1.60953 1.19436 0.718392 2.613 1.16437 0.192055 2.59175 1.37026
2.39203 1.28785 0.889708 0.119881 -0.896692 1.84447 0.385659 -1.29336 1.55763 0.367574
3.14718 1.97868 2.10243 1.70492 1.51949 3.54534 3.41022 2.096 3.14372 2.15691
3.47442 2.25197 1.54255 1.20469 1.48859 2.1269 0.459824 -0.664112 2.28385 1.05667
4.41843 2.97915 2.5744 2.26373 1.83478 3.70134 2.89506 1.637 3.18763 1.86063
3.0267 1.62512 1.33077 1.13758 1.16262 2.284 0.125308 -0.540799 1.74678 0.948515
4.54655 3.13806 2.67127 2.37548 2.27063 4.09338 3.92975 2.79663 2.50467 1.41797
3.2763 1.76095 1.43932 1.0891 0.837568 2.06693 0.666543 -0.653068 2.65615 1.29157
2.65601 1.3686 0.59477 0.072191 0.624563 1.83188 -0.698627 -0.979929 1.50595 0.155599
2.47639 1.42074 0.916242 0.770606 1.078 2.35313 0.522575 -0.834416 1.46088 0.243972
3.39994 1.83419 1.74315 1.47744 1.1897 3.06476 2.00471 0.387032 3.10684 2.01748
3.80274 2.21301 1.95006 1.73216 1.21541 2.5728 0.503065 -0.439306 2.89827 1.63953
2.8359 1.77048 1.00672 0.888267 1.05577 2.8742 0.954337 -0.0125699 1.62885 0.466165
3.24002 1.97964 1.35665 1.02451 1.15098 2.69825 1.0976 -0.832981 1.87595 0.807928
3.12112 1.98794 1.65262 1.58739 1.31614 2.9314 1.61206 -0.791549 2.69198 1.94572
