H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
4.3195 2.933 2.69541 2.25273 1.84891 4.04144 3.19647 2.00684 2.6227 1.59187
3.62511 2.18253 2.07098 1.60559 1.31837 2.84013 2.18451 0.973093 3.28067 2.08132
4.13326 2.62824 2.281 1.95972 1.76267 2.67064 1.01958 -0.182047 3.27116 2.23756
3.00609 1.62504 1.13863 0.800292 0.847174 2.33799 0.581244 -0.725392 1.84119 0.571863
4.27277 2.7313 2.3469 2.12413 1.66995 3.36555 2.35451 1.1856 3.04508 1.82358
2.55052 1.36165 0.624549 0.185152 0.452571 1.9438 0.323196 -0.433031 1.42629 0.187022
4.67088 3.04095 2.93822 2.53851 1.86066 3.44876 2.79706 1.73472 3.17238 2.00503
4.09194 2.73864 2.19671 2.03961 1.82589 3.16764 1.55914 0.492592 2.97395 1.90183
3.21095 2.08164 1.69592 1.19293 1.13609 3.16352 1.66112 0.461548 1.49969 0.127666
5.81585 4.35764 3.28809 2.98796 3.43733 4.67007 5.87538 4.69196 3.32455 2.13199
3.58327 2.33144 1.79078 1.49462 1.6538 2.73677 1.31987 0.206426 2.49971 1.25599
4.16442 2.77108 1.67638 1.55181 1.81505 3.36678 3.92098 2.72512 3.01269 2.2314
3.73347 2.37165 1.62021 1.23565 1.46713 1.87943 0.503506 -0.674976 2.63257 1.50498
2.11196 0.796416 0.611253 -0.177808 0.418126 2.48245 0.552545 -0.498802 1.47824 -0.0380294
2.65669 1.64477 0.790776 0.202465 0.909697 1.74839 0.824244 -0.364092 1.71886 0.93603
2.13483 1.35665 0.499286 0.192328 0.226954 1.62996 0.110005 -0.473939 1.32464 0.433774
1.60729 0.541513 0.00408482 -0.461002 -0.0825609 1.12834 -0.279514 -0.94206 0.921058 -0.737956
1.57406 1.54636 1.35902 0.820138 0.732304 2.26107 0.606014 -0.789065 2.23902 -0.0911906
2.86495 1.48693 1.14812 1.08776 0.630706 2.15527 -0.278372 0.0207488 1.6322 0.438145
3.07347 1.42756 0.98401 0.643487 -0.312931 1.66453 -0.0858933 -1.79881 1.98942 0.688239
3.46899 2.1232 1.8801 1.5778 1.39703 2.50713 1.177 0.0204125 2.67199 1.64177
3.77631 2.62447 2.12683 1.72971 1.76625 2.9898 1.66732 0.536995 2.46482 1.45931
3.38403 2.08713 1.59616 1.28048 1.36207 2.38001 0.617015 -0.43996 2.13236 1.01373
2.1496 0.562081 -0.455952 -0.0252098 -0.0956574 1.04316 0.00484436 -0.908502 1.11015 -1.12824
1.16469 0.489174 0.414389 0.177696 -0.737752 2.69135 1.13721 -0.290756 1.39371 0.223118
3.54378 2.36056 1.60261 1.16571 1.48567 2.91443 2.21409 0.737496 2.37761 1.13991
2.45022 0.894695 0.413182 0.224155 -0.172451 1.91447 0.762812 -0.263205 1.87141 0.620264
0.959208 -0.0191994 -0.308569 -0.218212 -0.679101 1.12674 -0.243006 -1.15023 0.184417 -1.69566
2.42829 1.36887 1.53959 1.18994 -0.287629 3.03323 1.55592 -0.593195 2.07471 0.64508
3.4205 2.08358 1.28758 0.950569 1.17889 1.98674 0.307276 -0.922265 2.23745 1.1005
1.69326 0.18678 0.325132 -0.329495 -0.987704 1.62852 -0.238699 -1.51582 0.866365 -0.115407
4.08213 2.73445 2.23115 2.01721 1.78352 3.40001 2.02683 0.611397 2.89223 1.70485
3.53652 2.11756 1.44572 1.11383 1.30077 2.25132 0.544026 -0.644274 2.3514 1.14366
1.67012 0.628175 0.547049 0.271815 -0.636516 1.36598 -1.57081 -0.554316 1.2581 0.170352
3.8388 2.43956 1.92883 1.33571 1.64511 2.81088 1.36925 0.0872674 2.82095 1.73811
